latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.46397,26.088955,85.0,7200,Europe/Bucharest,GMT+2

time,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (m/s)
2020-01-01T00:00,-1.3,86,1010.7,1.41
2020-01-01T01:00,-3.2,92,1011.2,1.51
2020-01-01T02:00,0.6,73,1011.4,1.99
2020-01-01T03:00,1.4,60,1012.1,4.08
2020-01-01T04:00,1.1,59,1013.0,4.70
2020-01-01T05:00,0.3,63,1013.4,3.86
2020-01-01T06:00,-0.7,70,1013.8,3.11
2020-01-01T07:00,-1.6,82,1014.7,3.21
2020-01-01T08:00,-1.0,80,1015.5,3.11
2020-01-01T09:00,0.4,72,1016.0,3.20
2020-01-01T10:00,2.6,61,1016.3,3.21
2020-01-01T11:00,4.8,54,1016.8,3.40
2020-01-01T12:00,5.8,51,1016.2,3.96
2020-01-01T13:00,6.6,48,1016.2,3.54
2020-01-01T14:00,7.3,45,1016.3,4.26
2020-01-01T15:00,7.1,44,1016.5,4.06
2020-01-01T16:00,5.4,51,1017.1,3.11
2020-01-01T17:00,2.2,63,1017.5,2.14
2020-01-01T18:00,1.3,62,1018.3,2.47
2020-01-01T19:00,-0.9,69,1018.8,3.13
2020-01-01T20:00,-2.1,75,1019.2,2.72
2020-01-01T21:00,-1.9,78,1019.5,2.19
2020-01-01T22:00,-2.3,80,1019.8,2.05
2020-01-01T23:00,-3.2,84,1020.0,2.16
2020-01-02T00:00,-3.9,87,1020.5,2.41
2020-01-02T01:00,-3.9,88,1020.6,2.04
2020-01-02T02:00,-3.8,88,1020.8,1.81
2020-01-02T03:00,-4.2,88,1021.0,1.80
2020-01-02T04:00,-4.0,88,1021.1,1.81
2020-01-02T05:00,-3.8,88,1021.2,1.49
2020-01-02T06:00,-3.6,87,1021.4,2.00
2020-01-02T07:00,-3.9,89,1021.5,1.12
2020-01-02T08:00,-3.6,89,1021.8,2.11
2020-01-02T09:00,-1.4,75,1022.1,2.70
2020-01-02T10:00,1.1,63,1022.2,2.69
2020-01-02T11:00,2.7,56,1022.2,3.19
2020-01-02T12:00,3.6,52,1021.5,3.48
2020-01-02T13:00,4.3,49,1020.4,3.72
2020-01-02T14:00,4.2,52,1020.0,3.37
2020-01-02T15:00,4.5,50,1019.5,3.22
2020-01-02T16:00,2.1,62,1019.2,1.97
2020-01-02T17:00,-1.0,80,1019.2,2.33
2020-01-02T18:00,-1.6,84,1019.3,2.28
2020-01-02T19:00,-1.7,86,1019.2,2.56
2020-01-02T20:00,-1.9,87,1019.1,2.40
2020-01-02T21:00,-2.4,88,1019.0,2.34
2020-01-02T22:00,-2.6,89,1018.7,2.53
2020-01-02T23:00,-2.8,90,1018.5,2.69
2020-01-03T00:00,-2.8,90,1018.3,2.75
2020-01-03T01:00,-3.0,90,1017.8,2.53
2020-01-03T02:00,-2.6,87,1017.4,2.33
2020-01-03T03:00,-3.2,89,1017.2,2.24
2020-01-03T04:00,-3.2,88,1016.8,2.60
2020-01-03T05:00,-3.3,88,1016.4,2.73
2020-01-03T06:00,-3.2,86,1016.0,2.82
2020-01-03T07:00,-2.7,81,1015.8,3.30
2020-01-03T08:00,-2.4,78,1015.9,3.32
2020-01-03T09:00,-1.0,71,1016.1,3.86
2020-01-03T10:00,1.2,63,1016.0,3.59
2020-01-03T11:00,3.8,51,1015.7,3.54
2020-01-03T12:00,6.0,42,1014.6,3.86
2020-01-03T13:00,7.4,38,1013.7,4.00
2020-01-03T14:00,6.6,49,1013.3,3.37
2020-01-03T15:00,6.4,54,1012.6,3.51
2020-01-03T16:00,4.3,64,1012.3,2.97
2020-01-03T17:00,1.4,76,1011.9,2.89
2020-01-03T18:00,0.7,78,1011.9,2.75
2020-01-03T19:00,-0.0,80,1011.5,2.75
2020-01-03T20:00,-0.6,83,1011.3,2.69
2020-01-03T21:00,-1.2,86,1010.8,2.66
2020-01-03T22:00,-1.6,88,1010.5,2.75
2020-01-03T23:00,-1.7,88,1010.4,2.55
2020-01-04T00:00,-2.2,88,1010.0,2.16
2020-01-04T01:00,-2.4,89,1009.7,2.21
2020-01-04T02:00,-2.4,85,1009.0,1.97
2020-01-04T03:00,-2.9,86,1008.4,1.94
2020-01-04T04:00,-3.0,87,1008.0,2.10
2020-01-04T05:00,-3.4,88,1007.6,1.90
2020-01-04T06:00,-3.7,87,1007.4,1.75
2020-01-04T07:00,-4.3,89,1007.2,2.25
2020-01-04T08:00,-3.7,91,1007.1,2.02
2020-01-04T09:00,-1.7,83,1007.9,2.47
2020-01-04T10:00,0.4,73,1007.9,2.72
2020-01-04T11:00,2.3,64,1008.3,1.72
2020-01-04T12:00,4.0,55,1007.3,1.90
2020-01-04T13:00,5.3,52,1006.8,1.77
2020-01-04T14:00,7.1,42,1006.0,1.61
2020-01-04T15:00,6.5,51,1005.5,2.12
2020-01-04T16:00,3.3,74,1005.3,2.43
2020-01-04T17:00,2.1,72,1005.3,2.06
2020-01-04T18:00,-0.3,82,1005.5,2.33
2020-01-04T19:00,-0.7,83,1005.6,2.33
2020-01-04T20:00,-0.3,84,1005.6,2.35
